rule_id,domain,question,condition_json,recommendation_ko,confidence,evidence_refs,last_reviewed
RECMP_001,recomp,바디 리컴포지션,"{""goal"": ""recomposition""}",근육 증가와 지방 감소의 동시 발생을 보장하지 않는다. 훈련경력·체지방·에너지·단백질·훈련 품질에 따라 조건부 목표로 표시한다.,moderate,04#2;04#3;04#7,2026-08-14
LEAN_SURPLUS_002,recomp,린매스업 에너지 조절,"{""goal"": ""lean_gain""}",고정 surplus 대신 체중·허리·수행 추세로 섭취량을 단계적으로 조절한다.,moderate,04#1;04#10,2026-08-14
ANA_CRE_001,anaerobic,크레아틴,"{""goal"": ""anaerobic_performance"", ""creatine_use"": false}",개인적 제한이 없다면 크레아틴 모노하이드레이트를 근거 수준이 높은 선택지로 안내할 수 있다.,high,05#1;05#3;08#3,2026-08-14
ANA_BA_002,anaerobic,베타알라닌,"{""goal"": ""high_intensity_duration_60_240s""}",고강도 지속·반복 과제에 조건부로 고려하며 모든 파워 종목의 기본 보충제로 취급하지 않는다.,moderate,05#4;05#5,2026-08-14
AER_HIIT_001,aerobic,VO2max와 HIIT,"{""goal"": ""vo2max"", ""hiit_sessions_per_week"": 0}",기초체력·부상위험·전체 부하를 확인한 뒤 HIIT를 선택지로 제시한다. 유일한 유산소 방식으로 강제하지 않는다.,high,06#1;06#2;06#10,2026-08-14
AER_DIST_002,aerobic,강도 분포,"{""goal"": ""endurance"", ""intensity_distribution"": ""single_zone""}",Zone 2 등 하나의 존을 만능 규칙으로 취급하지 않고 전체 강도 분포와 종목 특이성을 평가한다.,moderate,06#7;06#8,2026-08-14
CON_INT_001,concurrent,동시훈련 간섭,"{""goal"": ""hybrid""}",유산소 자체를 근손실 위험으로 판정하지 않는다. 모달리티·하체 피로·파워 목표·세션 배치를 조건부 간섭요인으로 평가한다.,high,07#1;07#7;07#9,2026-08-14
CON_POWER_002,concurrent,파워 간섭,"{""goal"": ""hybrid"", ""power_priority"": true}",폭발적 힘이 더 민감할 가능성을 반영해 파워 세션 품질과 배치를 우선 관리한다.,high,07#1;07#7,2026-08-14
NUT_PRO_001,nutrition,단백질 충분도,"{""resistance_training"": true, ""protein_g_kg"": ""<1.6""}",단백질 증가를 검토한다. 1.6 g/kg/day는 평균적 포화점 추정치이지 개인의 절대 최소·최대 기준이 아니다.,high,08#1;08#2,2026-08-14
NUT_CAFF_002,nutrition,카페인 순효과,"{""caffeine_use"": true}",수행 이득과 민감도·복용시간·수면 손실을 함께 평가한다.,high,08#5;08#6,2026-08-14
NUT_CARB_003,nutrition,탄수화물 주기화,"{""training_volume"": ""variable""}",탄수화물은 고정값 하나보다 훈련량·강도·지구력 세션에 맞춰 periodize한다.,high,08#8;08#9,2026-08-14
REC_SLEEP_001,recovery,수면과 readiness,"{""sleep_duration_h"": ""low""}",수면시간·질·규칙성 저하를 readiness 감소 요인으로 반영하되 하루 수치만으로 훈련을 자동 취소하지 않는다.,high,09#1;09#3,2026-08-14
REC_FOAM_002,recovery,폼롤링,"{""foam_rolling"": true}",근성장 촉진제가 아니라 ROM·DOMS·주관적 회복의 보조수단으로 표시한다.,moderate,09#5;09#6,2026-08-14
REC_COLD_003,recovery,저항운동 직후 냉수욕,"{""goal"": ""hypertrophy"", ""cold_water_immediately_post_rt"": true}",반복적인 즉시 냉수욕은 근비대 적응을 약화시킬 가능성이 있어 기본 회복법으로 추천하지 않는다. 경기 간 급속 회복은 별도 상황이다.,moderate,09#9;09#10,2026-08-14
